,NO_REGIAO,UF_NOME,DEPENDENCIA_NOME,LOCALIZACAO_NOME,IN_AGUA_POTAVEL,IN_ENERGIA_INEXISTENTE,IN_BIBLIOTECA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_COMPUTADOR,IN_EQUIP_IMPRESSORA,IN_EQUIP_TV,QT_EQUIP_TV,IN_EQUIP_LOUSA_DIGITAL,QT_EQUIP_LOUSA_DIGITAL,IN_EQUIP_MULTIMIDIA,QT_EQUIP_MULTIMIDIA,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_MATERIAL_PED_MULTIMIDIA
115,Norte,AM,Privada,Urbana,0.961218836565097,0.0,0.6814404432132964,0.19667590027700832,0.3490304709141274,0.9473684210526315,0.8781163434903048,0.8725761772853186,2.0,0.0997229916897507,0.0,0.8393351800554016,1.0,0.6232686980609419,1.0,0.5069252077562327,1.0,0.9556786703601108,0.40166204986149584,0.5013850415512465
116,Norte,AP,Estadual,Rural,0.6638297872340425,0.11063829787234042,0.28085106382978725,0.00851063829787234,0.05531914893617021,0.4340425531914894,0.3191489361702128,0.3148936170212766,0.0,0.00425531914893617,0.0,0.24680851063829787,0.0,0.23404255319148937,0.0,0.13191489361702127,0.0,0.5617021276595745,0.1148936170212766,0.09787234042553192
117,Norte,AP,Estadual,Urbana,0.9664429530201343,0.0,0.6442953020134228,0.2080536912751678,0.4429530201342282,0.959731543624161,0.7651006711409396,0.697986577181208,1.0,0.10067114093959731,0.0,0.8456375838926175,1.0,0.6510067114093959,2.0,0.2550335570469799,0.0,0.9530201342281879,0.3825503355704698,0.4563758389261745
118,Norte,AP,Federal,Urbana,0.8333333333333334,0.0,0.8333333333333334,0.6666666666666666,1.0,1.0,0.8333333333333334,1.0,2.0,0.6666666666666666,5.0,1.0,12.5,1.0,45.0,0.3333333333333333,0.0,1.0,1.0,0.8333333333333334
119,Norte,AP,Municipal,Rural,0.8849557522123894,0.11061946902654868,0.03982300884955752,0.004424778761061947,0.017699115044247787,0.39823008849557523,0.3008849557522124,0.2345132743362832,0.0,0.08849557522123894,0.0,0.20353982300884957,0.0,0.11061946902654868,0.0,0.035398230088495575,0.0,0.3495575221238938,0.022123893805309734,0.035398230088495575
120,Norte,AP,Municipal,Urbana,0.9774011299435028,0.0,0.13559322033898305,0.0,0.0847457627118644,0.8926553672316384,0.6949152542372882,0.5480225988700564,1.0,0.2937853107344633,0.0,0.519774011299435,1.0,0.24858757062146894,0.0,0.192090395480226,0.0,0.7344632768361582,0.13559322033898305,0.1977401129943503
121,Norte,AP,Privada,Rural,1.0,0.0,1.0,0.0,0.25,0.75,1.0,1.0,1.0,0.0,0.0,0.75,1.0,0.5,2.0,0.25,0.0,0.75,0.75,0.5
122,Norte,AP,Privada,Urbana,0.9634146341463414,0.0,0.5853658536585366,0.21951219512195122,0.4268292682926829,0.9390243902439024,0.8658536585365854,0.8536585365853658,1.0,0.1951219512195122,0.0,0.7804878048780488,1.0,0.6829268292682927,3.0,0.5121951219512195,1.0,0.9878048780487805,0.524390243902439,0.5853658536585366
123,Norte,PA,Estadual,Rural,0.9157088122605364,0.0,0.3793103448275862,0.22988505747126436,0.3371647509578544,0.7126436781609196,0.578544061302682,0.4904214559386973,0.0,0.019157088122605363,0.0,0.7318007662835249,1.0,0.9961685823754789,10.0,0.0,0.0,1.0,0.9885057471264368,0.0
124,Norte,PA,Estadual,Urbana,0.9724517906336089,0.0,0.5991735537190083,0.37052341597796146,0.5550964187327824,0.9765840220385675,0.7121212121212122,0.6349862258953168,1.0,0.03168044077134986,0.0,0.8815426997245179,2.0,0.9889807162534435,10.0,0.01652892561983471,0.0,0.9986225895316805,0.977961432506887,0.015151515151515152
125,Norte,PA,Federal,Rural,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,5.0,1.0,37.0,0.0,0.0,1.0,1.0,0.0
126,Norte,PA,Federal,Urbana,1.0,0.0,1.0,0.6818181818181818,1.0,1.0,0.9545454545454546,1.0,5.0,0.45454545454545453,0.0,1.0,15.5,1.0,80.5,0.5454545454545454,2.5,1.0,1.0,0.7272727272727273
127,Norte,PA,Municipal,Rural,0.7130660161610002,0.1042841896630584,0.05610611373685013,0.003049245311785333,0.043451745692940996,0.3457844183564568,0.3081262387559079,0.2678762006403415,0.0,0.008537886872998933,0.0,0.2029272754993139,0.0,0.09117243482238147,0.0,0.05290440615947553,0.0,0.5098338161305077,0.118920567159628,0.04512883061442293
128,Norte,PA,Municipal,Urbana,0.9345661450924608,0.0,0.22095779990516834,0.021811284969179705,0.24893314366998578,0.918918918918919,0.6083451872925557,0.7060218112849692,1.0,0.04267425320056899,0.0,0.6870554765291608,1.0,0.3148411569464201,0.0,0.1683262209577999,0.0,0.9468942626837363,0.23376007586533903,0.20056899004267426
129,Norte,PA,Privada,Rural,0.8846153846153846,0.0,0.6153846153846154,0.07692307692307693,0.46153846153846156,0.8461538461538461,0.8076923076923077,0.6923076923076923,1.0,0.11538461538461539,0.0,0.8076923076923077,1.0,0.6538461538461539,2.0,0.3076923076923077,0.0,0.7307692307692307,0.4230769230769231,0.34615384615384615
130,Norte,PA,Privada,Urbana,0.9883227176220807,0.0,0.6401273885350318,0.3078556263269639,0.45329087048832273,0.9639065817409767,0.8545647558386412,0.8980891719745223,2.0,0.07430997876857749,0.0,0.8036093418259024,1.0,0.6995753715498938,2.0,0.5796178343949044,1.0,0.9745222929936306,0.5169851380042463,0.5329087048832272
131,Norte,RO,Estadual,Rural,0.9159663865546218,0.226890756302521,0.16806722689075632,0.04201680672268908,0.15126050420168066,0.3949579831932773,0.31932773109243695,0.37815126050420167,0.0,0.01680672268907563,0.0,0.2184873949579832,0.0,0.3025210084033613,0.0,0.16806722689075632,0.0,0.5210084033613446,0.31932773109243695,0.07563025210084033
132,Norte,RO,Estadual,Urbana,0.9930795847750865,0.0,0.916955017301038,0.4359861591695502,0.8996539792387543,1.0,0.9619377162629758,0.8788927335640139,2.0,0.4844290657439446,0.0,0.9965397923875432,5.0,0.972318339100346,19.0,0.6020761245674741,2.0,1.0,0.9273356401384083,0.5432525951557093
133,Norte,RO,Federal,Rural,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,0.5,3.0,0.5,2.5,1.0,85.0,0.0,0.0,1.0,1.0,1.0
134,Norte,RO,Federal,Urbana,1.0,0.0,1.0,0.75,1.0,1.0,0.875,1.0,22.5,0.375,0.0,1.0,13.0,1.0,114.0,0.5,1.5,1.0,1.0,0.75
135,Norte,RO,Municipal,Rural,0.9791666666666666,0.004166666666666667,0.30833333333333335,0.041666666666666664,0.19166666666666668,0.8541666666666666,0.7208333333333333,0.75,1.0,0.1125,0.0,0.6541666666666667,1.0,0.4125,0.0,0.3125,0.0,0.8958333333333334,0.31666666666666665,0.14583333333333334
136,Norte,RO,Municipal,Urbana,0.9924242424242424,0.0,0.25,0.03787878787878788,0.20959595959595959,0.9949494949494949,0.8787878787878788,0.8838383838383839,2.0,0.16414141414141414,0.0,0.8484848484848485,1.0,0.39141414141414144,0.0,0.32323232323232326,0.0,0.9924242424242424,0.26262626262626265,0.21717171717171718
137,Norte,RO,Privada,Rural,1.0,0.0,1.0,0.4,0.8,1.0,0.9,0.9,2.0,0.0,0.0,1.0,2.5,0.7,10.0,0.5,0.5,1.0,0.8,0.6
138,Norte,RO,Privada,Urbana,0.9941860465116279,0.0,0.6918604651162791,0.22674418604651161,0.47093023255813954,0.9709302325581395,0.9244186046511628,0.8546511627906976,2.0,0.1569767441860465,0.0,0.872093023255814,1.0,0.7034883720930233,4.0,0.5232558139534884,1.0,1.0,0.6162790697674418,0.5348837209302325
139,Norte,RR,Estadual,Rural,0.4206896551724138,0.3310344827586207,0.15862068965517243,0.0034482758620689655,0.05172413793103448,0.3724137931034483,0.13793103448275862,0.28620689655172415,0.0,0.0034482758620689655,0.0,0.30689655172413793,0.0,0.17586206896551723,0.0,0.18620689655172415,0.0,0.4103448275862069,0.30689655172413793,0.010344827586206896
140,Norte,RR,Estadual,Urbana,0.9883720930232558,0.0,0.872093023255814,0.29069767441860467,0.6511627906976745,0.9767441860465116,0.9186046511627907,0.9069767441860465,2.0,0.12790697674418605,0.0,0.9651162790697675,2.0,0.7209302325581395,5.5,0.5348837209302325,1.0,0.9302325581395349,0.6627906976744186,0.4418604651162791
141,Norte,RR,Federal,Rural,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,1.0,13.0,1.0,35.5,0.5,10.0,1.0,0.5,1.0
142,Norte,RR,Federal,Urbana,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.2,0.0,1.0,14.0,1.0,65.0,0.4,0.0,1.0,1.0,0.8
