,UF_NOME,DEPENDENCIA_NOME,URB_NOME,LOCALIZACAO_NOME,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP
107,PR,Privada,Capital,Urbana,1.0,1.0,0.673839,0.991849
108,PR,Privada,Interior,Rural,1.0,1.0,0.64097,0.421491
109,PR,Privada,Interior,Urbana,1.0,1.0,0.803497,0.489263
110,PR,Publica,Capital,Urbana,1.0,1.0,0.113706,0.064709
111,PR,Publica,Interior,Rural,1.0,1.0,-0.10690849999999999,-0.1600745
112,PR,Publica,Interior,Urbana,1.0,1.0,0.168489,0.2348475
113,RJ,Privada,Capital,Urbana,1.0,1.0,0.05451,0.28121450000000003
114,RJ,Privada,Interior,Rural,1.0,1.0,0.682616,0.6369229999999999
115,RJ,Privada,Interior,Urbana,1.0,1.0,0.369947,0.378803
116,RJ,Publica,Capital,Urbana,1.0,1.0,0.168406,-0.0436985
117,RJ,Publica,Interior,Rural,1.0,1.0,-0.15235500000000002,-0.291038
118,RJ,Publica,Interior,Urbana,1.0,1.0,-0.350693,-0.332627
119,RN,Privada,Capital,Urbana,1.0,1.0,0.423082,0.568518
120,RN,Privada,Interior,Rural,1.0,1.0,-0.487098,0.049557
121,RN,Privada,Interior,Urbana,1.0,1.0,0.313059,0.203286
122,RN,Publica,Capital,Urbana,1.0,1.0,-0.721553,-0.610935
123,RN,Publica,Interior,Rural,1.0,1.0,-0.451193,-0.586214
124,RN,Publica,Interior,Urbana,1.0,1.0,-0.601747,-0.7581745
125,RO,Privada,Capital,Rural,1.0,1.0,-0.0355525,0.290037
126,RO,Privada,Capital,Urbana,1.0,1.0,0.571167,0.419847
127,RO,Privada,Interior,Rural,1.0,1.0,0.240361,-0.152311
128,RO,Privada,Interior,Urbana,1.0,1.0,0.462077,0.28195800000000004
129,RO,Publica,Capital,Rural,1.0,1.0,0.059359,-0.116758
130,RO,Publica,Capital,Urbana,1.0,1.0,-0.234911,-0.1549125
131,RO,Publica,Interior,Rural,1.0,1.0,0.012555499999999999,-0.1942625
132,RO,Publica,Interior,Urbana,1.0,1.0,0.328147,0.171493
133,RR,Privada,Capital,Urbana,1.0,1.0,0.3409045,0.30499350000000003
