,UF_NOME,DEPENDENCIA_NOME,LOCALIZACAO_NOME,IN_AGUA_POTAVEL,IN_ENERGIA_INEXISTENTE,IN_BIBLIOTECA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_COMPUTADOR,IN_EQUIP_IMPRESSORA,IN_EQUIP_TV,QT_EQUIP_TV,IN_EQUIP_LOUSA_DIGITAL,QT_EQUIP_LOUSA_DIGITAL,IN_EQUIP_MULTIMIDIA,QT_EQUIP_MULTIMIDIA,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_MATERIAL_PED_MULTIMIDIA,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP,_merge
10,AM,Publica,Urbana,0.9918367346938776,0.0,0.5727891156462585,0.15782312925170067,0.46258503401360546,0.8836734693877552,0.7537414965986394,0.8149659863945579,2.0,0.03197278911564626,0.0,0.8360544217687075,2.0,0.5285714285714286,1.0,0.3047619047619048,0.0,0.8836734693877552,0.3476190476190476,0.26326530612244897,1.0,1.0,-0.127034,-0.298579,both
11,AP,Privada,Urbana,0.9634146341463414,0.0,0.5853658536585366,0.21951219512195122,0.4268292682926829,0.9390243902439024,0.8658536585365854,0.8536585365853658,1.0,0.1951219512195122,0.0,0.7804878048780488,1.0,0.6829268292682927,3.0,0.5121951219512195,1.0,0.9878048780487805,0.524390243902439,0.5853658536585366,1.0,1.0,0.33910549999999995,0.252759,both
12,AP,Publica,Rural,0.7722342733188721,0.11062906724511931,0.16268980477223427,0.006507592190889371,0.0368763557483731,0.4164859002169197,0.31019522776572667,0.2754880694143167,0.0,0.0455531453362256,0.0,0.22559652928416485,0.0,0.1735357917570499,0.0,0.08459869848156182,0.0,0.45770065075921906,0.06941431670281996,0.06724511930585683,1.0,1.0,-0.424656,-0.635661,both
13,AP,Publica,Urbana,0.9698795180722891,0.0,0.37650602409638556,0.10542168674698796,0.2620481927710843,0.9246987951807228,0.7289156626506024,0.6234939759036144,1.0,0.21385542168674698,0.0,0.6746987951807228,1.0,0.4427710843373494,0.0,0.22289156626506024,0.0,0.8373493975903614,0.2620481927710843,0.3253012048192771,1.0,1.0,-0.1544835,-0.45791950000000003,both
14,BA,Privada,Rural,0.9878048780487805,0.0,0.6951219512195121,0.25609756097560976,0.4268292682926829,1.0,0.8414634146341463,0.8536585365853658,1.0,0.04878048780487805,0.0,0.7195121951219512,1.0,0.6463414634146342,2.0,0.5853658536585366,1.0,0.975609756097561,0.5975609756097561,0.5121951219512195,1.0,1.0,0.36123649999999996,0.21698,both
15,BA,Privada,Urbana,0.9809694793536804,0.0,0.6344703770197486,0.18384201077199283,0.24093357271095153,0.9490125673249551,0.8570915619389587,0.866786355475763,1.0,0.08725314183123878,0.0,0.6951526032315979,1.0,0.6157989228007181,1.0,0.5271095152603231,1.0,0.9874326750448833,0.4323159784560144,0.4118491921005386,1.0,1.0,0.306669,0.338417,both
16,BA,Publica,Rural,0.8971389645776566,0.011307901907356949,0.12220708446866485,0.007629427792915531,0.0723433242506812,0.6262942779291553,0.49536784741144413,0.6200272479564033,1.0,0.024795640326975475,0.0,0.43923705722070844,0.0,0.28651226158038146,0.0,0.2595367847411444,0.0,0.8046321525885558,0.2911444141689373,0.12247956403269755,1.0,1.0,-0.550198,-0.648197,both
17,BA,Publica,Urbana,0.8672384219554031,0.0015437392795883361,0.3168096054888508,0.060205831903945115,0.18198970840480275,0.8891938250428817,0.7202401372212693,0.807032590051458,1.0,0.083704974271012,0.0,0.7012006861063464,1.0,0.46500857632933107,0.0,0.36432246998284734,0.0,0.9777015437392796,0.3053173241852487,0.23430531732418525,1.0,1.0,0.0204425,-0.1302165,both
18,CE,Privada,Rural,1.0,0.0,0.5625,0.0625,0.3125,1.0,0.75,0.875,1.0,0.0,0.0,0.8125,1.0,0.8125,2.0,0.625,1.0,1.0,0.5,0.5,1.0,1.0,0.876862,0.12657,both
19,CE,Privada,Urbana,0.9864546525323911,0.0,0.6442873969375736,0.19257950530035337,0.3380447585394582,0.9399293286219081,0.8091872791519434,0.8510011778563016,1.0,0.09010600706713781,0.0,0.7396937573616019,1.0,0.6325088339222615,1.0,0.5353356890459364,1.0,0.9799764428739693,0.4210836277974087,0.48527679623085984,1.0,1.0,0.3989775,0.239568,both
